algorithm,task,matrix_size,tile_size,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,1,242252859.0,218900949.0,43461715.333333336,19905738.33333333,1.9439366666666664
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,2,242694528.3333333,220346644.66666663,43932027.0,19283395.666666668,1.9631166666666668
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,3,243680976.3333333,219481188.66666663,44033053.333333336,19445958.0,1.9673066666666668
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,4,243121264.66666663,219454211.3333333,44088031.0,19565466.666666668,1.9705566666666667
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,5,232532384.0,220544947.3333333,36103665.0,25206892.33333333,1.905063333333333
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,6,236132472.66666663,223319862.66666663,36811106.66666666,25195494.33333333,1.93883
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,7,242799549.3333333,219751817.66666663,43750503.333333336,19643006.666666668,1.95674
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,8,236300237.66666663,222661967.0,36976229.333333336,25034176.0,1.9488633333333332
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,9,244517989.66666663,220271327.0,44120992.0,19401741.33333333,1.97024
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,10,242827727.3333333,220145636.3333333,43607391.66666666,19610530.33333333,1.9484333333333328
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,11,241894868.0,216969151.0,43551511.0,19583505.666666668,1.9485033333333333
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,12,242279063.0,219769741.66666663,43736034.0,19979678.666666668,1.9576966666666669
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,13,243891892.3333333,219012663.66666663,43788814.66666666,19214081.666666668,1.9582766666666664
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,14,241813244.0,217967276.3333333,43290876.0,19383615.666666668,1.938586666666667
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,15,238324361.0,217481315.3333333,43292564.0,19254580.33333333,1.9373366666666667
cholesky,potrf,16384,1024,0.293517,0.002335,0.002615,2.597815,0.164586,16,245010074.3333333,219585172.0,43706862.333333336,19578691.33333333,1.9546766666666664
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,1,242252859.0,218900949.0,43461715.333333336,19905738.33333333,1.9439366666666664
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,2,242694528.3333333,220346644.66666663,43932027.0,19283395.666666668,1.9631166666666668
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,3,243680976.3333333,219481188.66666663,44033053.333333336,19445958.0,1.9673066666666668
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,4,243121264.66666663,219454211.3333333,44088031.0,19565466.666666668,1.9705566666666667
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,5,232532384.0,220544947.3333333,36103665.0,25206892.33333333,1.905063333333333
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,6,236132472.66666663,223319862.66666663,36811106.66666666,25195494.33333333,1.93883
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,7,242799549.3333333,219751817.66666663,43750503.333333336,19643006.666666668,1.95674
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,8,236300237.66666663,222661967.0,36976229.333333336,25034176.0,1.9488633333333332
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,9,244517989.66666663,220271327.0,44120992.0,19401741.33333333,1.97024
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,10,242827727.3333333,220145636.3333333,43607391.66666666,19610530.33333333,1.9484333333333328
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,11,241894868.0,216969151.0,43551511.0,19583505.666666668,1.9485033333333333
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,12,242279063.0,219769741.66666663,43736034.0,19979678.666666668,1.9576966666666669
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,13,243891892.3333333,219012663.66666663,43788814.66666666,19214081.666666668,1.9582766666666664
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,14,241813244.0,217967276.3333333,43290876.0,19383615.666666668,1.938586666666667
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,15,238324361.0,217481315.3333333,43292564.0,19254580.33333333,1.9373366666666667
cholesky,trsm,16384,1024,0.313928,0.001416,0.002476,2.527275,1.777046,16,245010074.3333333,219585172.0,43706862.333333336,19578691.33333333,1.9546766666666664
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,1,242252859.0,218900949.0,43461715.333333336,19905738.33333333,1.9439366666666664
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,2,242694528.3333333,220346644.66666663,43932027.0,19283395.666666668,1.9631166666666668
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,3,243680976.3333333,219481188.66666663,44033053.333333336,19445958.0,1.9673066666666668
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,4,243121264.66666663,219454211.3333333,44088031.0,19565466.666666668,1.9705566666666667
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,5,232532384.0,220544947.3333333,36103665.0,25206892.33333333,1.905063333333333
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,6,236132472.66666663,223319862.66666663,36811106.66666666,25195494.33333333,1.93883
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,7,242799549.3333333,219751817.66666663,43750503.333333336,19643006.666666668,1.95674
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,8,236300237.66666663,222661967.0,36976229.333333336,25034176.0,1.9488633333333332
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,9,244517989.66666663,220271327.0,44120992.0,19401741.33333333,1.97024
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,10,242827727.3333333,220145636.3333333,43607391.66666666,19610530.33333333,1.9484333333333328
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,11,241894868.0,216969151.0,43551511.0,19583505.666666668,1.9485033333333333
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,12,242279063.0,219769741.66666663,43736034.0,19979678.666666668,1.9576966666666669
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,13,243891892.3333333,219012663.66666663,43788814.66666666,19214081.666666668,1.9582766666666664
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,14,241813244.0,217967276.3333333,43290876.0,19383615.666666668,1.938586666666667
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,15,238324361.0,217481315.3333333,43292564.0,19254580.33333333,1.9373366666666667
cholesky,syrk,16384,1024,0.256329,0.003805,0.006856,2.903211,2.613387,16,245010074.3333333,219585172.0,43706862.333333336,19578691.33333333,1.9546766666666664
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,1,242252859.0,218900949.0,43461715.333333336,19905738.33333333,1.9439366666666664
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,2,242694528.3333333,220346644.66666663,43932027.0,19283395.666666668,1.9631166666666668
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,3,243680976.3333333,219481188.66666663,44033053.333333336,19445958.0,1.9673066666666668
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,4,243121264.66666663,219454211.3333333,44088031.0,19565466.666666668,1.9705566666666667
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,5,232532384.0,220544947.3333333,36103665.0,25206892.33333333,1.905063333333333
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,6,236132472.66666663,223319862.66666663,36811106.66666666,25195494.33333333,1.93883
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,7,242799549.3333333,219751817.66666663,43750503.333333336,19643006.666666668,1.95674
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,8,236300237.66666663,222661967.0,36976229.333333336,25034176.0,1.9488633333333332
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,9,244517989.66666663,220271327.0,44120992.0,19401741.33333333,1.97024
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,10,242827727.3333333,220145636.3333333,43607391.66666666,19610530.33333333,1.9484333333333328
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,11,241894868.0,216969151.0,43551511.0,19583505.666666668,1.9485033333333333
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,12,242279063.0,219769741.66666663,43736034.0,19979678.666666668,1.9576966666666669
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,13,243891892.3333333,219012663.66666663,43788814.66666666,19214081.666666668,1.9582766666666664
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,14,241813244.0,217967276.3333333,43290876.0,19383615.666666668,1.938586666666667
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,15,238324361.0,217481315.3333333,43292564.0,19254580.33333333,1.9373366666666667
cholesky,gemm,16384,1024,0.197525,0.002808,0.007559,3.156735,16.774181,16,245010074.3333333,219585172.0,43706862.333333336,19578691.33333333,1.9546766666666664
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,1,242555124.3333333,223886938.66666663,40999114.333333336,18720295.0,1.8650233333333333
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,2,241503776.66666663,223683753.66666663,40868732.66666666,18778740.33333333,1.85659
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,3,246069885.66666663,227128447.0,41756311.333333336,18198039.33333333,1.8967133333333333
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,4,244686345.0,225928417.0,41337550.333333336,18290405.33333333,1.8774233333333332
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,5,243467740.0,224459874.66666663,41385209.66666666,18452070.33333333,1.8771266666666664
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,6,242047374.66666663,228586166.3333333,35659485.0,23340405.0,1.89045
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,7,242863371.66666663,225336194.66666663,41334438.66666666,18749471.666666668,1.87836
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,8,236364995.3333333,226539113.0,34486475.333333336,24155568.33333333,1.8461133333333333
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,9,247960872.3333333,228545069.3333333,42142916.66666666,18547098.0,1.9149833333333333
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,10,248004065.0,227353177.66666663,42138888.333333336,18438698.0,1.9126
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,11,239867732.66666663,223612953.0,40686550.66666666,19047924.0,1.8512566666666668
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,12,242704680.3333333,223595721.0,41291099.333333336,18497241.33333333,1.8714033333333333
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,13,238549194.0,222325114.3333333,40586024.333333336,18834304.666666668,1.84143
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,14,240580296.66666663,223701067.0,40896625.0,18667101.666666668,1.8564
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,15,234841948.66666663,221845318.0,34605948.333333336,23509633.33333333,1.8134033333333333
cholesky,potrf,16384,2048,0.308517,0.001995,0.002258,2.569944,0.405841,16,241378939.0,224137426.3333333,40868656.66666666,18862957.33333333,1.8589733333333327
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,1,242555124.3333333,223886938.66666663,40999114.333333336,18720295.0,1.8650233333333333
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,2,241503776.66666663,223683753.66666663,40868732.66666666,18778740.33333333,1.85659
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,3,246069885.66666663,227128447.0,41756311.333333336,18198039.33333333,1.8967133333333333
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,4,244686345.0,225928417.0,41337550.333333336,18290405.33333333,1.8774233333333332
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,5,243467740.0,224459874.66666663,41385209.66666666,18452070.33333333,1.8771266666666664
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,6,242047374.66666663,228586166.3333333,35659485.0,23340405.0,1.89045
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,7,242863371.66666663,225336194.66666663,41334438.66666666,18749471.666666668,1.87836
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,8,236364995.3333333,226539113.0,34486475.333333336,24155568.33333333,1.8461133333333333
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,9,247960872.3333333,228545069.3333333,42142916.66666666,18547098.0,1.9149833333333333
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,10,248004065.0,227353177.66666663,42138888.333333336,18438698.0,1.9126
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,11,239867732.66666663,223612953.0,40686550.66666666,19047924.0,1.8512566666666668
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,12,242704680.3333333,223595721.0,41291099.333333336,18497241.33333333,1.8714033333333333
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,13,238549194.0,222325114.3333333,40586024.333333336,18834304.666666668,1.84143
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,14,240580296.66666663,223701067.0,40896625.0,18667101.666666668,1.8564
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,15,234841948.66666663,221845318.0,34605948.333333336,23509633.33333333,1.8134033333333333
cholesky,trsm,16384,2048,0.28106,0.002185,0.002343,2.710239,3.833278,16,241378939.0,224137426.3333333,40868656.66666666,18862957.33333333,1.8589733333333327
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,1,242555124.3333333,223886938.66666663,40999114.333333336,18720295.0,1.8650233333333333
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,2,241503776.66666663,223683753.66666663,40868732.66666666,18778740.33333333,1.85659
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,3,246069885.66666663,227128447.0,41756311.333333336,18198039.33333333,1.8967133333333333
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,4,244686345.0,225928417.0,41337550.333333336,18290405.33333333,1.8774233333333332
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,5,243467740.0,224459874.66666663,41385209.66666666,18452070.33333333,1.8771266666666664
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,6,242047374.66666663,228586166.3333333,35659485.0,23340405.0,1.89045
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,7,242863371.66666663,225336194.66666663,41334438.66666666,18749471.666666668,1.87836
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,8,236364995.3333333,226539113.0,34486475.333333336,24155568.33333333,1.8461133333333333
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,9,247960872.3333333,228545069.3333333,42142916.66666666,18547098.0,1.9149833333333333
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,10,248004065.0,227353177.66666663,42138888.333333336,18438698.0,1.9126
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,11,239867732.66666663,223612953.0,40686550.66666666,19047924.0,1.8512566666666668
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,12,242704680.3333333,223595721.0,41291099.333333336,18497241.33333333,1.8714033333333333
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,13,238549194.0,222325114.3333333,40586024.333333336,18834304.666666668,1.84143
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,14,240580296.66666663,223701067.0,40896625.0,18667101.666666668,1.8564
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,15,234841948.66666663,221845318.0,34605948.333333336,23509633.33333333,1.8134033333333333
cholesky,syrk,16384,2048,0.222198,0.003292,0.002733,3.062516,4.020615,16,241378939.0,224137426.3333333,40868656.66666666,18862957.33333333,1.8589733333333327
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,1,242555124.3333333,223886938.66666663,40999114.333333336,18720295.0,1.8650233333333333
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,2,241503776.66666663,223683753.66666663,40868732.66666666,18778740.33333333,1.85659
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,3,246069885.66666663,227128447.0,41756311.333333336,18198039.33333333,1.8967133333333333
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,4,244686345.0,225928417.0,41337550.333333336,18290405.33333333,1.8774233333333332
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,5,243467740.0,224459874.66666663,41385209.66666666,18452070.33333333,1.8771266666666664
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,6,242047374.66666663,228586166.3333333,35659485.0,23340405.0,1.89045
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,7,242863371.66666663,225336194.66666663,41334438.66666666,18749471.666666668,1.87836
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,8,236364995.3333333,226539113.0,34486475.333333336,24155568.33333333,1.8461133333333333
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,9,247960872.3333333,228545069.3333333,42142916.66666666,18547098.0,1.9149833333333333
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,10,248004065.0,227353177.66666663,42138888.333333336,18438698.0,1.9126
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,11,239867732.66666663,223612953.0,40686550.66666666,19047924.0,1.8512566666666668
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,12,242704680.3333333,223595721.0,41291099.333333336,18497241.33333333,1.8714033333333333
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,13,238549194.0,222325114.3333333,40586024.333333336,18834304.666666668,1.84143
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,14,240580296.66666663,223701067.0,40896625.0,18667101.666666668,1.8564
cholesky,gemm,16384,2048,0.181793,0.003295,0.001445,3.234729,15.509934,15,234841948.66666663,221845318.0,34605948.333333336,23509633.33333333,1.8134033333333333
